,No.,PlayerÂ ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
1,26,Le'Veon Bell,28,RB,225,6-1,Michigan St.,7,,KC,0,1,0,0,0,0
3,7,Harrison Butker,25,K,205,6-4,Georgia Tech,3,,KC,0,0,0,0,1,0
8,25,Clyde Edwards-Helaire ,21,RB,207,5-7,LSU,Rook,,KC,0,1,0,0,0,0
13,17,Mecole Hardman,22,WR,187,5-10,Georgia,1,,KC,0,0,1,0,0,0
16,4,Chad Henne,35,QB,222,6-3,Michigan,12,,KC,1,0,0,0,0,0
17,10,Tyreek Hill,26,WR,185,5-10,West Alabama,4,,KC,0,0,1,0,0,0
20,48,Nick Keizer,25,TE,251,6-4,Grand Valley St.,Rook,,KC,0,0,0,1,0,0
21,87,Travis Kelce,31,TE,260,6-5,Cincinnati,7,,KC,0,0,0,1,0,0
25,15,Patrick Mahomes ,25,QB,230,6-3,Texas Tech,3,,KC,1,0,0,0,0,0
31,13,Byron Pringle,27,WR,203,6-1,Kansas St.,2,,KC,0,0,1,0,0,0
34,11,Demarcus Robinson,26,WR,203,6-1,Florida,4,,KC,0,0,1,0,0,0
37,83,Ricky Seals-Jones,25,WR,243,6-5,Texas A&M,3,,KC,0,0,1,0,0,0
39,34,Darwin Thompson,24,RB,200,5-8,Utah St.,1,,KC,0,1,0,0,0,0
44,24,DeAndre Washington,27,RB,210,5-8,Texas Tech,4,,KC,0,1,0,0,0,0
45,14,Sammy Watkins,27,WR,211,6-1,Clemson,6,,KC,0,0,1,0,0,0
48,31,Darrel Williams,25,RB,224,5-11,LSU,2,,KC,0,1,0,0,0,0
52,82,Deon Yelder,25,TE,255,6-4,Western Kentucky,2,,KC,0,0,0,1,0,0
